Id,Profile Name,Number of deaths,Number of infected,Number of healed,Comment,Like,Comment timestamp,Post timestamp,URL,Annotator1,Annotator2,Annotator3,Final annotation
1,Gashi Gurit,0,11,2,Qendroni.shpi.e.mos.hani.kurgjo.hiq.se.bash kerkuj spo.ja nin apo.ki.aspo.ki.turp,0,"Wednesday, May 13, 2020 12:33am GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
2,Arjeta Makolli Morina,0,11,2,Prap ne rritje :(,0,"Tuesday, May 12, 2020 7:18pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
3,Arton Krasniqi,0,11,2,Ide palidhje karantina masat mbrojtse mat mira jan veq shka ekeni ngufat ekonomin,0,"Tuesday, May 12, 2020 12:59pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
4,Nai Dona Gashi,0,11,2,"Oo Prizereni gjdo dite me te infektuar,beni durim bre pak rrini ne shtepi sepse ajo po shkon zingjir ncncn",0,"Tuesday, May 12, 2020 10:32am GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
5,Uvejs Morina,0,11,2,D. lexoj komentet ,1,"Tuesday, May 12, 2020 4:25am GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
6,Ardijan Toverlani,0,11,2,Ku mund ta baj testin për covid 19,0,"Tuesday, May 12, 2020 12:10am GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
7,Rufat Sadiku,0,11,2,Jo mirshot hyxhym n kamera jo po dalim jasht jo jo nalnu se ktu ala asht corona,0,"Tuesday, May 12, 2020 12:02am GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,1,1,0,1
8,Valmire Hasani,0,11,2,Oo popull me ket virus qe askujt sja murr jeten deri me tani populli ka mu varfru shumNjerzt kan me hy depresiv skan ka me ja majt o lene popullin se nuk vdes pi kti virusi ma shum kan me jek nga skamja se nga ky virus...,0,"Monday, May 11, 2020 11:23pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
9,Sezen Birlayoli Ozbek,0,11,2,Me 5 maj 87 sheruar ?   e tash 2 ,0,"Monday, May 11, 2020 10:38pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
10,Edon Azemi,0,11,2,"Sa duhet mi bo na ,1000 a ? , kallxoni bile ",0,"Monday, May 11, 2020 10:38pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,1,0
11,Valon N Rashiti,0,11,2,So ka dihet ka sa po shkon pasuli deri dje ke mir tash u kthy keq zot runa politik e poshter,0,"Monday, May 11, 2020 10:08pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,1,0,0,0
12,Adelina Raci,0,11,2,"B. R.  Kqyri edhe Futja BllokKa po vin njerzt e shtetv t jashtit qe po na bin virusin tash masi jon t mbyllur kufijt Dei  dje fajin e paten t jashtit qe ""kishe"" na prunen virusin nKosov ka po vjen tash virusi?Na keni lodh me kto rrena t shtetev t mdhaja ",1,"Monday, May 11, 2020 9:57pm GMT","Monday, May 11, 2020 8:12pm GMT",https://www.facebook.com/IKSHPK/posts/2731579983636655,0,0,0,0
